team_id,team_name,team_conference,total_wins,total_losses,conf_wins,conf_losses,home_wins,home_losses,road_wins,road_losses,points_perGame,total_offense,pass_offense,run_offense,thirdDown_offense,redzoneTD_offense,sacks_allowed,ppg_allowed,total_defense,pass_defense,run_defense,thirdDown_defense,redzoneTD_defense,team_sacks,turnover_margin,timeOf_posession,returning_productionPercent,transferPortal_points,recruitingRankAvg_lastTwoYr,new_headCoach,team_logoLink
33,Iowa,Big Ten,10,2,7,2,6,1,4,1,23.4,303.7,180.1,123.6,0.34,0.404,32,19.2,326.9,213.1,113.8,0.369,0.558,31,11,29,76,6.72,27,N,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png
34,Wisconsin,Big Ten,8,4,6,3,5,2,3,2,25.4,371.1,160.2,210.9,0.337,0.538,17,16.4,240.8,175.6,65.2,0.287,0.469,39,1,33,62,31.61,30,N,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png
35,Minnesota,Big Ten,8,4,6,3,4,3,4,1,25.5,360.1,162,198.1,0.447,0.6,22,18.3,284.8,184.7,100.2,0.348,0.593,25,4,35,69,30.25,43.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png
36,Purdue,Big Ten,8,4,6,3,4,2,4,2,29.1,439.6,355.4,84.2,0.436,0.474,29,20.5,341.5,194.6,146.9,0.369,0.533,26,-2,31,67,25.02,56.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png
37,Illinois,Big Ten,5,7,4,5,3,4,2,3,19.8,329.8,156.2,173.6,0.38,0.452,23,21.9,366.3,215.2,151.1,0.353,0.465,30,7,29,51,12.57,59,N,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png
38,Nebraska,Big Ten,3,9,1,8,3,4,0,5,27.9,447.6,266.4,181.2,0.41,0.66,29,22.7,366.3,219.4,146.9,0.389,0.5,20,-5,28,57,58.77,30.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png
39,Northwestern,Big Ten,3,9,1,8,3,3,0,6,16.6,322.3,177.3,145,0.358,0.529,29,29,429.5,216.5,213,0.428,0.558,19,-6,28,65,15.46,49,N,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png
40,Baylor,Big12,10,2,7,2,7,0,3,2,31.6,422.4,203.1,219.3,0.421,0.69,18,19.2,347.6,230.8,116.8,0.343,0.537,44,14,31,47,17.93,39,N,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png
41,Oklahoma State,Big12,11,1,8,1,7,0,4,1,31.1,417.4,231.9,185.5,0.429,0.603,16,16.8,273.6,184.4,89.2,0.288,0.563,57,-3,30,53,15.04,30,N,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png
42,Oklahoma,Big12,10,2,7,2,7,0,3,2,39.1,451,263.5,187.5,0.426,0.758,33,25.3,382,258.1,123.9,0.379,0.617,33,11,29,66,61.79,9,Y,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png
43,Iowa State,Big12,7,5,5,4,5,1,2,4,31.3,424.5,263.8,160.7,0.364,0.673,21,20.6,310.1,187.8,122.3,0.388,0.576,33,2,30,37,10.11,49,N,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png
44,Kansas State,Big12,7,5,4,5,4,3,3,2,27.5,362.3,199.9,162.4,0.438,0.667,24,21.1,348,221.7,126.3,0.399,0.634,33,5,29,57,33.16,59.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png
45,West Virginia,Big12,6,6,4,5,4,2,2,4,25.2,371.1,247.9,123.2,0.398,0.66,38,24.3,350,220.1,129.9,0.347,0.42,27,-5,31,44,33.42,38,N,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png
46,Texas Tech,Big12,6,6,3,6,3,3,3,3,30.3,416.3,257.2,159.1,0.427,0.7,25,32.1,410.8,266.4,144.4,0.447,0.66,20,-4,27,61,39.75,58.5,Y,http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png
47,Texas,Big12,5,7,3,6,4,2,1,5,35.3,424.8,225.4,199.3,0.438,0.745,26,31.1,425.6,224,201.6,0.419,0.569,20,-4,28,66,60.09,10,N,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png
48,TCU,Big12,5,7,3,6,4,3,1,4,28.7,430.7,236.5,194.2,0.461,0.565,28,34.9,461.8,239.8,222,0.469,0.706,15,-3,29,80,53.94,49,Y,http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png
49,Kansas,Big12,2,10,1,8,1,5,1,5,20.8,324.3,184.8,139.5,0.358,0.625,16,42.2,487.3,236.8,250.4,0.542,0.81,16,2,30,82,44.13,89.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png
50,Utah,Pac12,9,3,8,1,6,0,3,3,36.1,431.1,214.3,216.8,0.482,0.712,13,20.6,317.8,195.3,122.5,0.374,0.511,42,1,30,67,29.8,33.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png
51,UCLA,Pac12,8,4,6,3,4,3,4,1,36.7,441.3,226.2,215.2,0.46,0.74,23,26.8,384.5,260.2,124.3,0.436,0.628,26,7,29,58,57.64,46.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/26.png
52,Arizona State,Pac12,8,4,6,3,6,1,2,3,28.4,388,194.6,193.4,0.447,0.654,28,20.9,329.1,199.7,129.4,0.372,0.565,27,0,29,57,48.89,78.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png
53,Colorado,Pac12,4,8,3,6,4,2,0,6,18.8,257.4,131.3,126.2,0.323,0.606,32,26.7,420.9,242.3,178.6,0.431,0.605,14,6,27,61,17.83,55.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/38.png
54,USC,Pac12,4,8,3,6,2,5,2,3,28.7,443.9,298.3,145.6,0.453,0.549,18,31.8,409,241.8,167.2,0.428,0.723,21,-1,30,63,95.23,38.5,Y,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png
55,Arizona,Pac12,1,11,1,8,1,5,0,6,17.2,356,226.3,129.7,0.321,0.308,35,31.4,372.4,190.1,182.3,0.374,0.763,22,-17,30,68,38.7,49,N,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png
56,Oregon,Pac12,10,2,7,2,7,0,3,2,31.4,423.6,221.3,202.4,0.511,0.684,24,25.5,370.7,241.2,129.5,0.46,0.689,23,8,29,64,42.91,9.5,Y,http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png
57,Washington State,Pac12,7,5,6,3,4,3,3,2,27.8,379.4,257.3,122.1,0.394,0.564,31,24.3,379.1,217.4,161.7,0.379,0.56,21,11,30,50,28.22,60.5,Y,http://a.espncdn.com/i/teamlogos/ncaa/500/265.png
58,Oregon State,Pac12,7,5,5,4,6,0,1,5,31.2,429.3,216.9,212.4,0.488,0.702,14,25.9,387.8,241.1,146.7,0.503,0.593,20,1,30,72,6,82.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png
59,California,Pac12,5,7,4,5,4,2,1,5,23.8,385.8,221.6,164.2,0.407,0.585,25,22.3,366.7,229.5,137.2,0.464,0.575,24,10,30,53,27.39,43.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png
60,Washington,Pac12,4,8,3,6,2,5,2,3,21.5,323.4,225,98.4,0.444,0.632,23,22.7,336.6,143.3,193.3,0.357,0.489,20,-8,28,71,41.59,63.5,Y,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png
61,Stanford,Pac12,3,9,2,7,1,5,2,4,20.4,302.8,215.2,87.6,0.331,0.676,31,32.4,451.2,215.6,235.6,0.434,0.636,15,-10,28,83,8.39,31,N,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png
62,Georgia,SEC,12,0,8,0,6,0,6,0,38.6,442.8,251.9,190.9,0.448,0.6,16,9.5,253.9,172.2,81.7,0.356,0.281,49,3,30,59,0,3.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png
63,Kentucky,SEC,9,3,5,3,6,1,3,2,32.3,425.2,225.6,199.5,0.503,0.722,25,22.1,337.1,219.3,117.8,0.386,0.658,29,-11,32,68,38.46,24.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png
64,Tennessee,SEC,7,5,4,4,5,3,2,2,39.3,474.9,257.1,217.8,0.447,0.672,44,27.5,404.6,251.4,153.2,0.421,0.72,34,3,24,76,25.8,20,N,http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png
65,South Carolina,SEC,6,6,3,5,5,2,1,4,22.6,337.5,201.2,136.4,0.351,0.488,31,24.3,357.7,178.8,178.9,0.402,0.486,26,1,30,73,57.58,51.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png
66,Missouri,SEC,6,6,3,5,5,2,1,4,29.1,413.7,233.5,180.2,0.448,0.65,18,34.7,445.4,216.1,229.3,0.434,0.759,29,3,30,66,43.55,21,N,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png
67,Florida,SEC,6,6,2,6,5,1,1,5,30.7,462.9,254.2,208.8,0.414,0.706,14,26.6,362.2,208.6,153.6,0.358,0.545,36,-9,30,55,47.06,14.5,Y,http://a.espncdn.com/i/teamlogos/ncaa/500/57.png
68,Vanderbilt,SEC,2,10,0,8,1,6,1,4,15.8,312.6,189.3,123.3,0.319,0.516,28,35.8,457.7,264.3,193.4,0.357,0.587,9,-3,30,67,23.49,40.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
69,Alabama,SEC,11,1,7,1,7,0,4,1,39.6,488.2,338.2,150,0.52,0.676,42,20.2,306.2,223.3,82.9,0.311,0.55,57,9,31,67,59.93,1.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
70,Ole Miss,SEC,10,2,6,2,7,0,3,2,33.7,492.5,274.8,217.6,0.382,0.594,34,25,427.8,245.8,182,0.385,0.615,38,8,27,60,84.89,22,N,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png
71,Texas A&M,SEC,8,4,4,4,6,1,2,3,29.3,391.6,208.6,183,0.378,0.512,19,15.9,327.5,192.7,134.8,0.328,0.387,39,1,30,56,11.15,4.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png
72,Arkansas,SEC,8,4,4,4,6,1,2,3,30.9,441.7,213.9,227.8,0.368,0.635,30,24,371.4,215.1,156.3,0.335,0.486,24,6,28,64,55.45,26.5,N,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png
73,Mississippi State,SEC,6,6,4,4,4,3,2,3,29.1,441.5,378.3,63.2,0.457,0.621,34,25.3,331.3,230.1,101.2,0.413,0.595,28,-2,33,78,31.2,26,N,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png
74,Auburn,SEC,6,6,3,5,4,3,2,3,28.2,401.3,240.1,161.2,0.402,0.587,22,22.2,369.8,242.7,127.1,0.358,0.51,35,2,29,65,43.39,20,N,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png
75,LSU,SEC,6,6,3,5,5,2,1,4,26.5,368.5,254.5,114,0.37,0.6,38,25.3,372.2,234.9,137.3,0.398,0.732,38,-3,29,64,73.12,7.5,Y,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png
76,Notre Dame,Independent,11,1,8,1,6,1,5,0,35.2,426.2,282.5,143.8,0.423,0.66,35,18.3,339.8,212,127.8,0.321,0.383,41,9,29,66,19.16,8,Y,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png
77,BYU,Independent,10,2,8,2,5,1,5,1,33.1,453.1,264.1,189,0.459,0.745,15,24.3,387.1,235.5,151.6,0.43,0.58,20,10,29,85,29.11,66,N,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png
